Date,Open,High,Low,Close,Volume,Adj Close
2011-09-23,0.17,0.30,0.17,0.17,000,0.17
2011-09-22,0.17,0.17,0.17,0.17,000,0.17
2011-09-21,0.17,0.17,0.17,0.17,000,0.17
2011-09-20,0.17,0.17,0.17,0.17,000,0.17
2011-09-19,0.17,0.17,0.17,0.17,000,0.17
2011-09-16,0.17,0.17,0.17,0.17,000,0.17
2011-09-15,0.17,0.17,0.17,0.17,000,0.17
2011-09-14,0.17,0.17,0.17,0.17,000,0.17
2011-09-13,0.17,0.17,0.17,0.17,000,0.17
2011-09-12,0.17,0.17,0.17,0.17,000,0.17
2011-09-09,0.17,0.17,0.17,0.17,000,0.17
2011-09-08,0.17,0.17,0.17,0.17,000,0.17
2011-09-07,0.29,0.29,0.29,0.29,000,0.29
2011-09-06,0.17,0.29,0.17,0.17,000,0.17
2011-09-05,0.30,0.30,0.30,0.30,000,0.30
2011-09-02,0.17,0.17,0.17,0.17,000,0.17
2011-09-01,0.17,0.17,0.17,0.17,000,0.17
2011-08-31,0.17,0.17,0.17,0.17,000,0.17
2011-08-29,0.17,0.17,0.17,0.17,000,0.17
2011-08-26,0.18,0.18,0.18,0.18,000,0.18
2011-08-25,0.17,0.40,0.17,0.17,000,0.17
2011-08-24,0.17,0.17,0.17,0.17,000,0.17
2011-08-23,0.17,0.17,0.17,0.17,000,0.17
2011-08-22,0.18,0.18,0.18,0.18,000,0.18
2011-08-19,0.17,0.29,0.17,0.17,000,0.17
2011-08-18,0.20,0.29,0.20,0.20,000,0.20
2011-08-17,0.20,0.29,0.20,0.20,000,0.20
2011-08-16,0.20,0.29,0.20,0.20,000,0.20
2011-08-15,0.20,0.29,0.20,0.20,000,0.20
2011-08-12,0.18,0.30,0.18,0.18,000,0.18
2011-08-11,0.17,0.28,0.17,0.17,000,0.17
2011-08-10,0.20,0.29,0.20,0.20,000,0.20
2011-08-08,0.20,0.30,0.20,0.20,000,0.20
2011-08-05,0.20,0.30,0.20,0.20,000,0.20
2011-08-04,0.20,0.32,0.20,0.20,000,0.20
2011-08-03,0.22,0.32,0.22,0.22,000,0.22
2011-08-02,0.22,0.31,0.22,0.22,000,0.22
2011-08-01,0.22,0.31,0.22,0.22,000,0.22
2011-07-29,0.22,0.32,0.22,0.22,000,0.22
2011-07-28,0.20,0.33,0.20,0.20,000,0.20
2011-07-27,0.22,0.33,0.22,0.22,000,0.22
2011-07-26,0.20,0.35,0.20,0.20,000,0.20
2011-07-25,0.17,0.17,0.17,0.17,000,0.17
2011-07-22,0.17,0.17,0.17,0.17,000,0.17
2011-07-21,0.17,0.17,0.17,0.17,000,0.17
2011-07-20,0.17,0.33,0.17,0.17,000,0.17
2011-07-19,0.17,0.17,0.17,0.17,000,0.17
2011-07-18,0.17,0.17,0.17,0.17,000,0.17
2011-07-15,0.17,0.17,0.17,0.17,000,0.17
2011-07-14,0.17,0.17,0.17,0.17,000,0.17
2011-07-13,0.17,0.17,0.17,0.17,000,0.17
2011-07-12,0.17,0.40,0.17,0.17,000,0.17
2011-07-11,0.17,0.17,0.17,0.17,000,0.17
2011-07-08,0.17,0.40,0.17,0.17,000,0.17
2011-07-07,0.17,0.40,0.17,0.17,000,0.17
2011-07-06,0.18,0.35,0.18,0.18,000,0.18
2011-07-05,0.18,0.18,0.18,0.18,000,0.18
2011-07-04,0.18,0.18,0.18,0.18,000,0.18
2011-07-01,0.20,0.20,0.20,0.20,000,0.20
2011-06-30,0.33,0.33,0.33,0.33,000,0.33
2011-06-29,0.20,0.33,0.20,0.20,000,0.20
2011-06-28,0.20,0.31,0.20,0.20,000,0.20
2011-06-27,0.32,0.32,0.32,0.32,000,0.32
2011-06-24,0.32,0.32,0.32,0.32,000,0.32
2011-06-23,0.20,0.32,0.20,0.20,000,0.20
2011-06-22,0.32,0.32,0.32,0.32,000,0.32
2011-06-21,0.32,0.32,0.32,0.32,000,0.32
2011-06-20,0.20,0.32,0.20,0.20,000,0.20
2011-06-17,0.23,0.33,0.23,0.23,000,0.23
2011-06-16,0.24,0.34,0.24,0.24,000,0.24
2011-06-15,0.25,0.32,0.25,0.25,000,0.25
2011-06-14,0.23,0.32,0.23,0.23,000,0.23
2011-06-13,0.23,0.33,0.23,0.23,000,0.23
2011-06-10,0.23,0.33,0.23,0.23,000,0.23
2011-06-09,0.23,0.33,0.23,0.23,000,0.23
2011-06-08,0.23,0.33,0.23,0.23,000,0.23
2011-06-07,0.23,0.30,0.23,0.23,000,0.23
2011-06-06,0.23,0.33,0.23,0.23,000,0.23
2011-06-03,0.23,0.32,0.23,0.23,000,0.23
2011-06-02,0.23,0.30,0.23,0.23,000,0.23
2011-06-01,0.20,0.20,0.20,0.20,000,0.20
2011-05-31,0.20,0.35,0.20,0.20,000,0.20
2011-05-30,0.20,0.20,0.20,0.20,000,0.20
2011-05-27,0.20,0.20,0.20,0.20,000,0.20
2011-05-26,0.20,0.20,0.20,0.20,000,0.20
2011-05-25,0.20,0.20,0.20,0.20,000,0.20
2011-05-24,0.20,0.20,0.20,0.20,000,0.20
2011-05-23,0.20,0.20,0.20,0.20,000,0.20
2011-05-20,0.20,0.35,0.20,0.20,000,0.20
2011-05-19,0.20,0.35,0.20,0.20,000,0.20
2011-05-18,0.20,0.35,0.20,0.20,000,0.20
2011-05-16,0.20,0.20,0.20,0.20,000,0.20
2011-05-13,0.20,0.34,0.20,0.20,000,0.20
2011-05-12,0.20,0.20,0.20,0.20,000,0.20
2011-05-11,0.40,0.40,0.40,0.40,000,0.40
2011-05-10,0.20,0.40,0.20,0.20,000,0.20
2011-05-09,0.20,0.40,0.20,0.20,000,0.20
2011-05-06,0.20,0.33,0.20,0.20,000,0.20
2011-05-05,0.20,0.33,0.20,0.20,000,0.20
2011-05-04,0.20,0.36,0.20,0.20,000,0.20
2011-05-03,0.20,0.34,0.20,0.20,000,0.20
2011-04-29,0.20,0.34,0.20,0.20,000,0.20
2011-04-28,0.24,0.34,0.24,0.24,000,0.24
2011-04-27,0.24,0.34,0.24,0.24,000,0.24
2011-04-26,0.20,0.34,0.20,0.20,000,0.20
2011-04-25,0.20,0.33,0.20,0.20,000,0.20
2011-04-21,0.23,0.33,0.23,0.23,000,0.23
2011-04-20,0.20,0.34,0.20,0.20,000,0.20
2011-04-19,0.20,0.34,0.20,0.20,000,0.20
2011-04-18,0.20,0.34,0.20,0.20,000,0.20
2011-04-15,0.20,0.35,0.20,0.20,000,0.20
2011-04-14,0.20,0.33,0.20,0.20,000,0.20
2011-04-13,0.25,0.33,0.25,0.25,000,0.25
2011-04-12,0.25,0.35,0.25,0.25,000,0.25
2011-04-11,0.26,0.35,0.26,0.26,000,0.26
2011-04-08,0.25,0.35,0.25,0.25,000,0.25
2011-04-07,0.25,0.33,0.25,0.25,000,0.25
2011-04-06,0.25,0.35,0.25,0.25,000,0.25
2011-04-05,0.25,0.35,0.25,0.25,000,0.25
2011-04-04,0.25,0.35,0.25,0.25,000,0.25
2011-04-01,0.26,0.34,0.26,0.26,000,0.26
2011-03-31,0.25,0.34,0.25,0.25,000,0.25
2011-03-30,0.25,0.35,0.25,0.25,000,0.25
2011-03-29,0.26,0.35,0.26,0.26,000,0.26
2011-03-28,0.25,0.34,0.25,0.25,000,0.25
2011-03-25,0.25,0.35,0.25,0.25,000,0.25
2011-03-24,0.26,0.35,0.26,0.26,000,0.26
2011-03-23,0.26,0.32,0.26,0.26,000,0.26
2011-03-22,0.25,0.33,0.25,0.25,000,0.25
2011-03-21,0.20,0.33,0.20,0.20,000,0.20
2011-03-18,0.26,0.32,0.26,0.26,000,0.26
2011-03-17,0.20,0.32,0.20,0.20,000,0.20
2011-03-16,0.20,0.33,0.20,0.20,000,0.20
2011-03-15,0.30,0.30,0.30,0.30,6000,0.30
