Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.10,0.10,0.10,0.10,000,0.10
2011-08-03,0.10,0.10,0.10,0.10,50000,0.10
2011-08-02,0.10,0.12,0.10,0.10,000,0.10
2011-08-01,0.10,0.10,0.10,0.10,100000,0.10
2011-07-29,0.10,0.10,0.10,0.10,100000,0.10
2011-07-28,0.10,0.12,0.10,0.10,000,0.10
2011-07-27,0.10,0.10,0.10,0.10,50000,0.10
2011-07-26,0.10,0.12,0.10,0.10,000,0.10
2011-07-25,0.10,0.12,0.10,0.10,000,0.10
2011-07-22,0.10,0.10,0.10,0.10,30000,0.10
2011-07-21,0.10,0.10,0.10,0.10,50000,0.10
2011-07-20,0.10,0.10,0.10,0.10,5000,0.10
2011-07-19,0.10,0.10,0.10,0.10,000,0.10
2011-07-18,0.10,0.10,0.10,0.10,20000,0.10
2011-07-15,0.10,0.12,0.10,0.10,000,0.10
2011-07-14,0.10,0.10,0.10,0.10,100000,0.10
2011-07-13,0.10,0.10,0.10,0.10,69000,0.10
2011-07-12,0.10,0.10,0.10,0.10,50000,0.10
2011-07-11,0.10,0.12,0.10,0.10,000,0.10
2011-07-08,0.10,0.11,0.10,0.11,76000,0.11
2011-07-07,0.10,0.10,0.10,0.10,50000,0.10
2011-07-06,0.10,0.10,0.10,0.10,10000,0.10
2011-07-05,0.10,0.12,0.10,0.10,000,0.10
2011-07-04,0.11,0.12,0.11,0.11,000,0.11
2011-07-01,0.10,0.12,0.10,0.12,116000,0.12
2011-06-30,0.10,0.13,0.10,0.13,17000,0.13
2011-06-29,0.10,0.12,0.10,0.10,000,0.10
2011-06-28,0.10,0.10,0.10,0.10,20000,0.10
2011-06-27,0.10,0.12,0.10,0.10,000,0.10
2011-06-24,0.10,0.12,0.10,0.10,000,0.10
2011-06-23,0.09,0.11,0.09,0.09,000,0.09
2011-06-22,0.10,0.10,0.10,0.10,35000,0.10
2011-06-21,0.10,0.10,0.10,0.10,10000,0.10
2011-06-20,0.10,0.11,0.10,0.11,16000,0.11
2011-06-17,0.10,0.12,0.10,0.12,70000,0.12
2011-06-16,0.10,0.13,0.10,0.13,46000,0.13
2011-06-15,0.11,0.14,0.11,0.14,11000,0.14
2011-06-14,0.10,0.11,0.10,0.10,000,0.10
2011-06-13,0.12,0.12,0.12,0.12,15000,0.12
2011-06-10,0.11,0.11,0.11,0.11,44000,0.11
2011-06-09,0.14,0.14,0.14,0.14,1000,0.14
2011-06-08,0.09,0.11,0.09,0.09,000,0.09
2011-06-07,0.10,0.11,0.10,0.10,000,0.10
2011-06-06,0.10,0.13,0.10,0.10,000,0.10
2011-06-03,0.10,0.13,0.10,0.10,000,0.10
2011-06-02,0.10,0.12,0.10,0.10,000,0.10
2011-06-01,0.10,0.12,0.10,0.10,000,0.10
2011-05-31,0.10,0.12,0.10,0.10,000,0.10
2011-05-30,0.10,0.12,0.10,0.10,000,0.10
2011-05-27,0.10,0.12,0.10,0.10,000,0.10
2011-05-26,0.10,0.13,0.10,0.10,000,0.10
2011-05-25,0.11,0.12,0.11,0.11,000,0.11
2011-05-24,0.10,0.12,0.10,0.10,000,0.10
2011-05-23,0.10,0.12,0.10,0.10,000,0.10
2011-05-20,0.12,0.12,0.12,0.12,111000,0.12
2011-05-19,0.12,0.13,0.12,0.12,000,0.12
2011-05-18,0.12,0.12,0.12,0.12,000,0.12
2011-05-16,0.12,0.14,0.12,0.14,21000,0.14
2011-05-13,0.12,0.12,0.12,0.12,000,0.12
2011-05-12,0.11,0.12,0.11,0.11,000,0.11
2011-05-11,0.12,0.13,0.12,0.12,000,0.12
2011-05-10,0.12,0.12,0.12,0.12,000,0.12
2011-05-09,0.11,0.13,0.11,0.11,000,0.11
2011-05-06,0.11,0.12,0.11,0.11,000,0.11
2011-05-05,0.10,0.13,0.10,0.10,000,0.10
2011-05-04,0.11,0.12,0.11,0.11,000,0.11
2011-05-03,0.11,0.13,0.11,0.11,000,0.11
2011-04-29,0.11,0.13,0.11,0.11,000,0.11
2011-04-28,0.12,0.13,0.12,0.12,000,0.12
2011-04-27,0.12,0.12,0.12,0.12,000,0.12
2011-04-26,0.12,0.13,0.12,0.13,20000,0.13
2011-04-25,0.11,0.11,0.11,0.11,10000,0.11
2011-04-21,0.12,0.12,0.12,0.12,30000,0.12
2011-04-20,0.12,0.12,0.12,0.12,30000,0.12
2011-04-19,0.12,0.12,0.12,0.12,176000,0.12
2011-04-18,0.12,0.12,0.12,0.12,000,0.12
2011-04-15,0.14,0.14,0.12,0.12,82000,0.12
2011-04-14,0.10,0.16,0.10,0.10,000,0.10
2011-04-13,0.11,0.13,0.11,0.11,000,0.11
2011-04-12,0.12,0.12,0.12,0.12,000,0.12
2011-04-11,0.12,0.12,0.12,0.12,000,0.12
2011-04-08,0.11,0.13,0.11,0.11,000,0.11
2011-04-07,0.11,0.12,0.11,0.11,000,0.11
2011-04-06,0.11,0.11,0.11,0.11,5000,0.11
2011-04-05,0.10,0.12,0.10,0.10,000,0.10
2011-04-04,0.11,0.11,0.11,0.11,12000,0.11
2011-04-01,0.11,0.12,0.11,0.11,000,0.11
2011-03-31,0.11,0.12,0.11,0.11,000,0.11
2011-03-30,0.11,0.12,0.11,0.11,000,0.11
2011-03-29,0.10,0.14,0.10,0.10,000,0.10
2011-03-28,0.11,0.12,0.11,0.11,000,0.11
2011-03-25,0.12,0.12,0.12,0.12,100000,0.12
2011-03-24,0.10,0.11,0.10,0.10,000,0.10
2011-03-23,0.10,0.12,0.10,0.10,000,0.10
2011-03-22,0.11,0.11,0.11,0.11,8000,0.11
2011-03-21,0.12,0.13,0.12,0.12,000,0.12
2011-03-18,0.11,0.12,0.11,0.11,000,0.11
2011-03-17,0.11,0.14,0.11,0.11,000,0.11
2011-03-16,0.11,0.12,0.11,0.11,000,0.11
2011-03-15,0.12,0.12,0.12,0.12,18000,0.12
