Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.05,0.06,0.05,0.05,000,0.05
2011-08-03,0.05,0.05,0.05,0.05,21000,0.05
2011-08-02,0.06,0.06,0.06,0.06,000,0.06
2011-08-01,0.06,0.06,0.06,0.06,471000,0.06
2011-07-29,0.06,0.06,0.06,0.06,3000,0.06
2011-07-28,0.06,0.06,0.06,0.06,6000,0.06
2011-07-27,0.06,0.06,0.06,0.06,000,0.06
2011-07-26,0.06,0.06,0.06,0.06,000,0.06
2011-07-25,0.05,0.06,0.05,0.05,000,0.05
2011-07-22,0.06,0.06,0.06,0.06,000,0.06
2011-07-21,0.06,0.06,0.06,0.06,000,0.06
2011-07-20,0.05,0.05,0.05,0.05,2000,0.05
2011-07-19,0.05,0.05,0.05,0.05,40000,0.05
2011-07-18,0.06,0.06,0.06,0.06,185000,0.06
2011-07-15,0.06,0.06,0.06,0.06,000,0.06
2011-07-14,0.06,0.06,0.06,0.06,000,0.06
2011-07-13,0.06,0.06,0.06,0.06,000,0.06
2011-07-12,0.06,0.06,0.06,0.06,000,0.06
2011-07-11,0.06,0.06,0.06,0.06,000,0.06
2011-07-08,0.06,0.06,0.06,0.06,000,0.06
2011-07-07,0.06,0.06,0.06,0.06,3000,0.06
2011-07-06,0.06,0.06,0.06,0.06,000,0.06
2011-07-05,0.06,0.06,0.06,0.06,000,0.06
2011-07-04,0.06,0.06,0.06,0.06,140000,0.06
2011-07-01,0.06,0.06,0.06,0.06,46000,0.06
2011-06-30,0.06,0.06,0.06,0.06,65000,0.06
2011-06-29,0.06,0.06,0.06,0.06,000,0.06
2011-06-28,0.06,0.06,0.06,0.06,32000,0.06
2011-06-27,0.05,0.06,0.05,0.05,000,0.05
2011-06-24,0.05,0.06,0.05,0.05,000,0.05
2011-06-23,0.06,0.06,0.06,0.06,000,0.06
2011-06-22,0.06,0.06,0.06,0.06,1000,0.06
2011-06-21,0.06,0.06,0.06,0.06,31000,0.06
2011-06-20,0.06,0.06,0.06,0.06,7000,0.06
2011-06-17,0.06,0.06,0.06,0.06,455000,0.06
2011-06-16,0.06,0.06,0.06,0.06,965000,0.06
2011-06-15,0.06,0.06,0.06,0.06,600000,0.06
2011-06-14,0.06,0.06,0.06,0.06,10000,0.06
2011-06-13,0.06,0.06,0.06,0.06,421000,0.06
2011-06-10,0.06,0.06,0.06,0.06,120000,0.06
2011-06-09,0.06,0.07,0.06,0.06,000,0.06
2011-06-08,0.06,0.06,0.06,0.06,161000,0.06
2011-06-07,0.06,0.06,0.06,0.06,6000,0.06
2011-06-06,0.06,0.07,0.06,0.06,000,0.06
2011-06-03,0.06,0.07,0.06,0.06,000,0.06
2011-06-02,0.06,0.07,0.06,0.06,000,0.06
2011-06-01,0.06,0.07,0.06,0.06,000,0.06
2011-05-31,0.06,0.06,0.06,0.06,202000,0.06
2011-05-30,0.06,0.06,0.06,0.06,100000,0.06
2011-05-27,0.06,0.06,0.06,0.06,000,0.06
2011-05-26,0.06,0.06,0.06,0.06,000,0.06
2011-05-25,0.06,0.07,0.06,0.06,000,0.06
2011-05-24,0.06,0.06,0.06,0.06,25000,0.06
2011-05-23,0.06,0.06,0.06,0.06,107000,0.06
2011-05-20,0.06,0.06,0.06,0.06,000,0.06
2011-05-19,0.06,0.06,0.06,0.06,000,0.06
2011-05-18,0.06,0.06,0.06,0.06,000,0.06
2011-05-16,0.06,0.07,0.06,0.06,000,0.06
2011-05-13,0.06,0.06,0.06,0.06,391000,0.06
2011-05-12,0.06,0.07,0.06,0.06,191000,0.06
2011-05-11,0.06,0.06,0.06,0.06,210000,0.06
2011-05-10,0.06,0.06,0.06,0.06,9000,0.06
2011-05-09,0.06,0.06,0.06,0.06,9000,0.06
2011-05-06,0.06,0.08,0.06,0.06,000,0.06
2011-05-05,0.06,0.08,0.06,0.06,000,0.06
2011-05-04,0.06,0.08,0.06,0.06,000,0.06
2011-05-03,0.07,0.07,0.07,0.07,649000,0.07
2011-04-29,0.07,0.07,0.07,0.07,100000,0.07
2011-04-28,0.06,0.08,0.06,0.06,000,0.06
2011-04-27,0.07,0.07,0.07,0.07,48000,0.07
2011-04-26,0.07,0.07,0.07,0.07,240000,0.07
2011-04-25,0.07,0.07,0.07,0.07,450000,0.07
2011-04-21,0.07,0.07,0.07,0.07,376000,0.07
2011-04-20,0.06,0.08,0.06,0.06,000,0.06
2011-04-19,0.06,0.07,0.06,0.06,000,0.06
2011-04-18,0.07,0.07,0.07,0.07,550000,0.07
2011-04-15,0.07,0.07,0.07,0.07,30000,0.07
2011-04-14,0.06,0.07,0.06,0.07,60000,0.07
2011-04-13,0.06,0.07,0.06,0.06,000,0.06
2011-04-12,0.07,0.07,0.07,0.07,2000,0.07
2011-04-11,0.06,0.07,0.06,0.07,117000,0.07
2011-04-08,0.07,0.07,0.06,0.07,1227000,0.07
2011-04-07,0.06,0.08,0.06,0.06,000,0.06
2011-04-06,0.06,0.06,0.06,0.06,142000,0.06
2011-04-05,0.06,0.07,0.06,0.06,000,0.06
2011-04-04,0.06,0.06,0.06,0.06,147000,0.06
2011-04-01,0.05,0.06,0.05,0.05,000,0.05
2011-03-31,0.06,0.06,0.06,0.06,275000,0.06
2011-03-30,0.06,0.06,0.06,0.06,65000,0.06
2011-03-29,0.06,0.06,0.06,0.06,150000,0.06
2011-03-28,0.05,0.06,0.05,0.05,000,0.05
2011-03-25,0.06,0.06,0.06,0.06,000,0.06
2011-03-24,0.06,0.06,0.06,0.06,000,0.06
2011-03-23,0.05,0.06,0.05,0.05,000,0.05
2011-03-22,0.06,0.06,0.06,0.06,205000,0.06
2011-03-21,0.05,0.06,0.05,0.06,63000,0.06
2011-03-18,0.05,0.06,0.05,0.06,300000,0.06
2011-03-17,0.06,0.06,0.05,0.05,101000,0.05
2011-03-16,0.06,0.06,0.06,0.06,209000,0.06
2011-03-15,0.06,0.06,0.06,0.06,60000,0.06
2011-03-14,0.06,0.06,0.06,0.06,10000,0.06
2011-03-11,0.06,0.07,0.06,0.06,000,0.06
2011-03-10,0.06,0.06,0.06,0.06,164000,0.06
2011-03-09,0.06,0.06,0.06,0.06,42000,0.06
2011-03-08,0.06,0.07,0.06,0.06,000,0.06
2011-03-07,0.07,0.07,0.07,0.07,50000,0.07
