Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.06,0.06,0.06,0.06,7000,0.06
2011-08-03,0.06,0.06,0.06,0.06,000,0.06
2011-08-02,0.06,0.06,0.06,0.06,000,0.06
2011-08-01,0.06,0.06,0.06,0.06,70000,0.06
2011-07-29,0.06,0.06,0.06,0.06,000,0.06
2011-07-28,0.06,0.07,0.06,0.06,000,0.06
2011-07-27,0.06,0.06,0.06,0.06,120000,0.06
2011-07-26,0.06,0.06,0.06,0.06,65000,0.06
2011-07-25,0.06,0.07,0.06,0.06,000,0.06
2011-07-22,0.06,0.07,0.06,0.06,000,0.06
2011-07-21,0.06,0.06,0.06,0.06,000,0.06
2011-07-20,0.06,0.06,0.06,0.06,000,0.06
2011-07-19,0.06,0.06,0.06,0.06,130000,0.06
2011-07-18,0.06,0.06,0.06,0.06,30000,0.06
2011-07-15,0.06,0.06,0.06,0.06,50000,0.06
2011-07-14,0.06,0.07,0.06,0.06,000,0.06
2011-07-13,0.06,0.06,0.06,0.06,000,0.06
2011-07-12,0.06,0.06,0.06,0.06,50000,0.06
2011-07-11,0.06,0.08,0.06,0.06,000,0.06
2011-07-08,0.06,0.06,0.06,0.06,8000,0.06
2011-07-07,0.07,0.07,0.06,0.07,71000,0.07
2011-07-06,0.06,0.07,0.06,0.06,000,0.06
2011-07-05,0.06,0.07,0.06,0.06,000,0.06
2011-07-04,0.07,0.07,0.06,0.06,304000,0.06
2011-07-01,0.07,0.07,0.07,0.07,110000,0.07
2011-06-30,0.08,0.09,0.08,0.08,80000,0.08
2011-06-29,0.06,0.08,0.06,0.06,000,0.06
2011-06-28,0.06,0.08,0.06,0.06,000,0.06
2011-06-27,0.07,0.07,0.07,0.07,60000,0.07
2011-06-24,0.06,0.07,0.06,0.06,000,0.06
2011-06-23,0.06,0.08,0.06,0.06,000,0.06
2011-06-22,0.07,0.07,0.07,0.07,50000,0.07
2011-06-21,0.06,0.06,0.06,0.06,140000,0.06
2011-06-20,0.06,0.06,0.06,0.06,40000,0.06
2011-06-17,0.06,0.06,0.06,0.06,84000,0.06
2011-06-16,0.06,0.07,0.06,0.06,000,0.06
2011-06-15,0.06,0.07,0.06,0.07,9000,0.07
2011-06-14,0.06,0.07,0.06,0.06,000,0.06
2011-06-13,0.06,0.07,0.06,0.06,000,0.06
2011-06-10,0.06,0.07,0.06,0.06,000,0.06
2011-06-09,0.06,0.06,0.06,0.06,100000,0.06
2011-06-08,0.07,0.08,0.07,0.07,000,0.07
2011-06-07,0.07,0.08,0.07,0.07,000,0.07
2011-06-06,0.08,0.08,0.07,0.07,60000,0.07
2011-06-03,0.06,0.07,0.06,0.07,80000,0.07
2011-06-02,0.07,0.07,0.07,0.07,35000,0.07
2011-06-01,0.06,0.06,0.06,0.06,50000,0.06
2011-05-31,0.07,0.07,0.07,0.07,40000,0.07
2011-05-30,0.07,0.08,0.07,0.07,000,0.07
2011-05-27,0.07,0.08,0.07,0.07,000,0.07
2011-05-26,0.07,0.08,0.07,0.07,000,0.07
2011-05-25,0.07,0.08,0.07,0.07,000,0.07
2011-05-24,0.07,0.07,0.07,0.07,13000,0.07
2011-05-23,0.07,0.07,0.07,0.07,154000,0.07
2011-05-20,0.07,0.08,0.07,0.07,000,0.07
2011-05-19,0.07,0.07,0.07,0.07,60000,0.07
2011-05-18,0.07,0.08,0.07,0.07,000,0.07
2011-05-16,0.07,0.07,0.07,0.07,25000,0.07
2011-05-13,0.07,0.08,0.07,0.07,000,0.07
2011-05-12,0.07,0.08,0.07,0.07,000,0.07
2011-05-11,0.07,0.08,0.07,0.07,000,0.07
2011-05-10,0.08,0.08,0.08,0.08,20000,0.08
2011-05-09,0.07,0.08,0.07,0.07,000,0.07
2011-05-06,0.08,0.08,0.08,0.08,000,0.08
2011-05-05,0.07,0.07,0.07,0.07,20000,0.07
2011-05-04,0.07,0.08,0.07,0.07,000,0.07
2011-05-03,0.07,0.08,0.07,0.07,000,0.07
2011-04-29,0.07,0.08,0.07,0.07,000,0.07
2011-04-28,0.07,0.08,0.07,0.07,000,0.07
2011-04-27,0.07,0.08,0.07,0.07,000,0.07
2011-04-26,0.07,0.08,0.07,0.07,000,0.07
2011-04-25,0.08,0.08,0.08,0.08,000,0.08
2011-04-21,0.07,0.08,0.07,0.07,000,0.07
2011-04-20,0.08,0.08,0.08,0.08,10000,0.08
2011-04-19,0.07,0.08,0.07,0.07,000,0.07
2011-04-18,0.08,0.08,0.08,0.08,40000,0.08
2011-04-15,0.07,0.08,0.07,0.07,000,0.07
2011-04-14,0.07,0.08,0.07,0.07,000,0.07
2011-04-13,0.08,0.08,0.08,0.08,69000,0.08
2011-04-12,0.08,0.08,0.08,0.08,60000,0.08
2011-04-11,0.08,0.08,0.07,0.07,525000,0.07
2011-04-08,0.08,0.09,0.08,0.08,000,0.08
2011-04-07,0.08,0.08,0.08,0.08,30000,0.08
2011-04-06,0.08,0.08,0.08,0.08,30000,0.08
2011-04-05,0.08,0.08,0.08,0.08,10000,0.08
2011-04-04,0.08,0.08,0.08,0.08,100000,0.08
2011-04-01,0.08,0.08,0.08,0.08,4000,0.08
2011-03-31,0.08,0.08,0.08,0.08,70000,0.08
2011-03-30,0.08,0.08,0.08,0.08,202000,0.08
2011-03-29,0.08,0.08,0.08,0.08,000,0.08
2011-03-28,0.08,0.08,0.08,0.08,000,0.08
2011-03-25,0.08,0.08,0.08,0.08,130000,0.08
2011-03-24,0.08,0.08,0.08,0.08,2000,0.08
