Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.11,0.13,0.11,0.11,000,0.11
2011-08-03,0.11,0.11,0.11,0.11,000,0.11
2011-08-02,0.11,0.13,0.11,0.11,000,0.11
2011-08-01,0.11,0.13,0.11,0.11,000,0.11
2011-07-29,0.12,0.13,0.12,0.12,000,0.12
2011-07-28,0.12,0.12,0.12,0.12,000,0.12
2011-07-27,0.12,0.12,0.12,0.12,10000,0.12
2011-07-26,0.12,0.12,0.12,0.12,000,0.12
2011-07-25,0.12,0.13,0.12,0.12,000,0.12
2011-07-22,0.11,0.12,0.11,0.11,000,0.11
2011-07-21,0.11,0.12,0.11,0.11,000,0.11
2011-07-20,0.11,0.12,0.11,0.11,000,0.11
2011-07-19,0.11,0.12,0.11,0.11,000,0.11
2011-07-18,0.11,0.12,0.11,0.12,31000,0.12
2011-07-15,0.11,0.11,0.11,0.11,30000,0.11
2011-07-14,0.11,0.13,0.11,0.11,000,0.11
2011-07-13,0.11,0.11,0.11,0.11,000,0.11
2011-07-12,0.11,0.11,0.11,0.11,000,0.11
2011-07-11,0.11,0.11,0.11,0.11,000,0.11
2011-07-08,0.11,0.11,0.11,0.11,000,0.11
2011-07-07,0.12,0.12,0.12,0.12,50000,0.12
2011-07-06,0.12,0.14,0.12,0.12,000,0.12
2011-07-05,0.12,0.12,0.12,0.12,100000,0.12
2011-07-04,0.12,0.12,0.12,0.12,50000,0.12
2011-07-01,0.12,0.12,0.12,0.12,000,0.12
2011-06-30,0.12,0.12,0.12,0.12,2000,0.12
2011-06-29,0.12,0.12,0.12,0.12,000,0.12
2011-06-28,0.10,0.10,0.10,0.10,000,0.10
2011-06-27,0.12,0.12,0.12,0.12,000,0.12
2011-06-24,0.12,0.12,0.12,0.12,10000,0.12
2011-06-23,0.12,0.12,0.12,0.12,000,0.12
2011-06-22,0.12,0.12,0.12,0.12,000,0.12
2011-06-21,0.12,0.15,0.12,0.12,000,0.12
2011-06-20,0.12,0.12,0.12,0.12,000,0.12
2011-06-17,0.12,0.14,0.12,0.12,000,0.12
2011-06-16,0.12,0.14,0.12,0.12,000,0.12
