Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.09,0.11,0.09,0.09,000,0.09
2011-08-03,0.10,0.10,0.10,0.10,8000,0.10
2011-08-02,0.09,0.09,0.09,0.09,000,0.09
2011-08-01,0.09,0.09,0.09,0.09,000,0.09
2011-07-29,0.09,0.10,0.09,0.09,000,0.09
2011-07-28,0.08,0.08,0.08,0.08,15000,0.08
2011-07-27,0.08,0.08,0.08,0.08,000,0.08
2011-07-26,0.08,0.08,0.08,0.08,000,0.08
2011-07-25,0.08,0.08,0.08,0.08,2000,0.08
2011-07-22,0.08,0.10,0.08,0.08,000,0.08
2011-07-21,0.08,0.08,0.08,0.08,2000,0.08
2011-07-20,0.08,0.12,0.08,0.08,000,0.08
2011-07-19,0.08,0.11,0.08,0.08,000,0.08
2011-07-18,0.09,0.13,0.09,0.13,31000,0.13
2011-07-15,0.09,0.12,0.09,0.09,000,0.09
2011-07-14,0.09,0.12,0.09,0.09,000,0.09
2011-07-13,0.08,0.12,0.08,0.08,000,0.08
2011-07-12,0.08,0.12,0.08,0.08,000,0.08
2011-07-11,0.08,0.12,0.08,0.08,000,0.08
2011-07-08,0.12,0.12,0.12,0.12,000,0.12
2011-07-07,0.14,0.14,0.14,0.14,1000,0.14
2011-07-06,0.08,0.12,0.08,0.08,000,0.08
2011-07-05,0.12,0.12,0.12,0.12,2000,0.12
2011-07-04,0.10,0.10,0.10,0.10,85000,0.10
2011-07-01,0.10,0.12,0.10,0.10,000,0.10
2011-06-30,0.10,0.12,0.10,0.10,000,0.10
2011-06-29,0.09,0.12,0.09,0.09,000,0.09
2011-06-28,0.09,0.12,0.09,0.09,000,0.09
2011-06-27,0.09,0.12,0.09,0.09,000,0.09
2011-06-24,0.08,0.12,0.08,0.08,000,0.08
2011-06-23,0.12,0.12,0.12,0.12,1000,0.12
2011-06-22,0.10,0.10,0.10,0.10,20000,0.10
2011-06-21,0.09,0.10,0.09,0.09,000,0.09
2011-06-20,0.09,0.12,0.09,0.09,000,0.09
2011-06-17,0.09,0.10,0.09,0.09,000,0.09
2011-06-16,0.09,0.09,0.09,0.09,56000,0.09
2011-06-15,0.09,0.11,0.09,0.09,000,0.09
2011-06-14,0.09,0.11,0.09,0.09,000,0.09
2011-06-13,0.09,0.11,0.09,0.09,000,0.09
2011-06-10,0.09,0.11,0.09,0.09,000,0.09
2011-06-09,0.11,0.11,0.11,0.11,10000,0.11
2011-06-08,0.09,0.11,0.09,0.09,000,0.09
2011-06-07,0.08,0.12,0.08,0.08,000,0.08
