Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.14,0.14,0.14,0.14,4000,0.14
2011-08-03,0.14,0.14,0.14,0.14,10000,0.14
2011-08-02,0.15,0.18,0.15,0.15,000,0.15
2011-08-01,0.14,0.19,0.14,0.14,000,0.14
2011-07-29,0.15,0.19,0.15,0.15,000,0.15
2011-07-28,0.14,0.14,0.14,0.14,6000,0.14
2011-07-27,0.16,0.20,0.16,0.16,000,0.16
2011-07-26,0.16,0.20,0.16,0.16,000,0.16
2011-07-25,0.15,0.20,0.15,0.15,000,0.15
2011-07-22,0.16,0.20,0.16,0.16,000,0.16
2011-07-21,0.16,0.20,0.16,0.16,000,0.16
2011-07-20,0.16,0.20,0.16,0.16,000,0.16
2011-07-19,0.15,0.20,0.15,0.15,000,0.15
2011-07-18,0.16,0.20,0.16,0.16,000,0.16
2011-07-15,0.16,0.20,0.16,0.16,000,0.16
2011-07-14,0.16,0.20,0.16,0.16,000,0.16
2011-07-13,0.16,0.20,0.16,0.16,000,0.16
2011-07-12,0.16,0.16,0.16,0.16,12000,0.16
2011-07-11,0.17,0.17,0.17,0.17,5000,0.17
2011-07-08,0.16,0.20,0.16,0.16,000,0.16
2011-07-07,0.18,0.20,0.18,0.18,000,0.18
2011-07-06,0.17,0.20,0.17,0.17,000,0.17
2011-07-05,0.19,0.19,0.19,0.19,8000,0.19
2011-07-04,0.18,0.22,0.18,0.18,000,0.18
2011-07-01,0.16,0.20,0.16,0.16,000,0.16
2011-06-30,0.16,0.20,0.16,0.16,000,0.16
2011-06-29,0.16,0.20,0.16,0.16,000,0.16
2011-06-28,0.16,0.20,0.16,0.16,000,0.16
2011-06-27,0.16,0.20,0.16,0.16,000,0.16
2011-06-24,0.16,0.19,0.16,0.16,000,0.16
2011-06-23,0.16,0.16,0.16,0.16,5000,0.16
2011-06-22,0.16,0.20,0.16,0.16,000,0.16
2011-06-21,0.16,0.20,0.16,0.16,000,0.16
2011-06-20,0.16,0.20,0.16,0.16,000,0.16
2011-06-17,0.17,0.17,0.17,0.17,6000,0.17
2011-06-16,0.16,0.17,0.16,0.16,000,0.16
2011-06-15,0.16,0.17,0.16,0.16,000,0.16
2011-06-14,0.16,0.21,0.16,0.16,000,0.16
2011-06-13,0.16,0.20,0.16,0.16,000,0.16
2011-06-10,0.17,0.20,0.17,0.17,000,0.17
2011-06-09,0.17,0.20,0.17,0.17,000,0.17
2011-06-08,0.17,0.20,0.17,0.17,000,0.17
2011-06-07,0.17,0.22,0.17,0.17,000,0.17
2011-06-06,0.17,0.20,0.17,0.17,000,0.17
2011-06-03,0.17,0.20,0.17,0.17,000,0.17
2011-06-02,0.17,0.19,0.17,0.17,000,0.17
2011-06-01,0.17,0.18,0.17,0.17,000,0.17
2011-05-31,0.18,0.18,0.18,0.18,300000,0.18
2011-05-30,0.18,0.18,0.18,0.18,30000,0.18
2011-05-27,0.18,0.18,0.18,0.18,60000,0.18
2011-05-26,0.18,0.18,0.18,0.18,20000,0.18
2011-05-25,0.19,0.19,0.19,0.19,000,0.19
2011-05-24,0.20,0.20,0.19,0.19,488000,0.19
2011-05-23,0.19,0.23,0.19,0.19,000,0.19
2011-05-20,0.19,0.22,0.19,0.19,000,0.19
2011-05-19,0.19,0.23,0.19,0.19,000,0.19
2011-05-18,0.19,0.23,0.19,0.19,000,0.19
2011-05-16,0.19,0.23,0.19,0.19,000,0.19
2011-05-13,0.19,0.23,0.19,0.19,000,0.19
2011-05-12,0.19,0.23,0.19,0.19,000,0.19
2011-05-11,0.19,0.19,0.19,0.19,10000,0.19
2011-05-10,0.19,0.19,0.19,0.19,20000,0.19
2011-05-09,0.19,0.23,0.19,0.19,000,0.19
2011-05-06,0.19,0.21,0.19,0.19,000,0.19
2011-05-05,0.19,0.23,0.19,0.19,000,0.19
2011-05-04,0.20,0.20,0.20,0.20,32000,0.20
2011-05-03,0.20,0.20,0.20,0.20,8000,0.20
2011-04-29,0.19,0.19,0.19,0.19,48000,0.19
2011-04-28,0.19,0.24,0.19,0.19,000,0.19
2011-04-27,0.19,0.24,0.19,0.19,000,0.19
2011-04-26,0.19,0.24,0.19,0.19,000,0.19
2011-04-25,0.19,0.24,0.19,0.19,000,0.19
2011-04-21,0.19,0.24,0.19,0.19,000,0.19
2011-04-20,0.19,0.19,0.19,0.19,4000,0.19
2011-04-19,0.19,0.24,0.19,0.19,000,0.19
2011-04-18,0.19,0.19,0.19,0.19,3000,0.19
2011-04-15,0.19,0.39,0.19,0.19,000,0.19
2011-04-14,0.19,0.39,0.19,0.19,000,0.19
2011-04-13,0.19,0.19,0.19,0.19,000,0.19
2011-04-12,0.19,0.39,0.19,0.19,000,0.19
2011-04-11,0.19,0.39,0.19,0.19,000,0.19
2011-04-08,0.19,0.39,0.19,0.19,000,0.19
2011-04-07,0.19,0.39,0.19,0.19,000,0.19
2011-04-06,0.19,0.39,0.19,0.19,000,0.19
2011-04-05,0.19,0.38,0.19,0.19,000,0.19
2011-04-04,0.19,0.39,0.19,0.19,000,0.19
2011-04-01,0.19,0.22,0.19,0.19,000,0.19
2011-03-31,0.19,0.19,0.19,0.19,146000,0.19
2011-03-30,0.19,0.38,0.19,0.19,000,0.19
2011-03-29,0.19,0.38,0.19,0.19,000,0.19
2011-03-28,0.19,0.22,0.19,0.19,000,0.19
2011-03-25,0.19,0.19,0.19,0.19,000,0.19
2011-03-24,0.19,0.19,0.19,0.19,000,0.19
2011-03-23,0.19,0.19,0.19,0.19,000,0.19
2011-03-22,0.19,0.19,0.19,0.19,000,0.19
2011-03-21,0.19,0.19,0.19,0.19,000,0.19
2011-03-18,0.19,0.19,0.19,0.19,000,0.19
2011-03-17,0.19,0.19,0.19,0.19,000,0.19
2011-03-16,0.19,0.19,0.19,0.19,000,0.19
2011-03-15,0.19,0.19,0.19,0.19,000,0.19
2011-03-14,0.19,0.19,0.19,0.19,000,0.19
2011-03-11,0.19,0.19,0.19,0.19,000,0.19
2011-03-10,0.19,0.19,0.19,0.19,000,0.19
2011-03-09,0.19,0.19,0.19,0.19,000,0.19
2011-03-08,0.19,0.19,0.19,0.19,000,0.19
2011-03-07,0.19,0.19,0.19,0.19,70000,0.19
2011-03-04,0.19,0.19,0.19,0.19,000,0.19
2011-03-03,0.19,0.19,0.19,0.19,8000,0.19
2011-03-02,0.19,0.19,0.19,0.19,5000,0.19
2011-03-01,0.19,0.22,0.19,0.19,000,0.19
2011-02-28,0.19,0.22,0.19,0.19,000,0.19
2011-02-25,0.19,0.19,0.19,0.19,50000,0.19
2011-02-24,0.19,0.19,0.19,0.19,10000,0.19
2011-02-23,0.19,0.22,0.19,0.19,000,0.19
2011-02-22,0.19,0.22,0.19,0.19,000,0.19
2011-02-21,0.19,0.22,0.19,0.19,000,0.19
2011-02-18,0.20,0.22,0.20,0.20,000,0.20
2011-02-17,0.19,0.22,0.19,0.19,000,0.19
2011-02-16,0.19,0.19,0.19,0.19,5000,0.19
2011-02-15,0.19,0.22,0.19,0.19,000,0.19
2011-02-14,0.19,0.28,0.19,0.19,000,0.19
2011-02-11,0.20,0.23,0.20,0.20,000,0.20
2011-02-10,0.22,0.22,0.22,0.22,500000,0.22
2011-02-09,0.22,0.30,0.22,0.22,000,0.22
