Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.18,0.21,0.18,0.18,000,0.18
2011-08-03,0.17,0.21,0.17,0.17,000,0.17
2011-08-02,0.18,0.21,0.18,0.18,000,0.18
2011-08-01,0.18,0.22,0.18,0.18,000,0.18
2011-07-29,0.17,0.21,0.17,0.17,000,0.17
2011-07-28,0.18,0.21,0.18,0.18,000,0.18
2011-07-27,0.18,0.22,0.18,0.18,000,0.18
2011-07-26,0.18,0.21,0.18,0.18,000,0.18
2011-07-25,0.18,0.22,0.18,0.18,000,0.18
2011-07-22,0.19,0.22,0.19,0.19,000,0.19
2011-07-21,0.19,0.22,0.19,0.19,000,0.19
2011-07-20,0.19,0.22,0.19,0.19,000,0.19
2011-07-19,0.19,0.22,0.19,0.19,000,0.19
2011-07-18,0.19,0.19,0.19,0.19,10000,0.19
2011-07-15,0.19,0.22,0.19,0.19,000,0.19
2011-07-14,0.19,0.22,0.19,0.19,000,0.19
2011-07-13,0.22,0.22,0.22,0.22,50000,0.22
2011-07-12,0.18,0.22,0.18,0.18,000,0.18
2011-07-11,0.19,0.22,0.19,0.19,000,0.19
2011-07-08,0.19,0.22,0.19,0.19,000,0.19
2011-07-07,0.19,0.20,0.19,0.19,000,0.19
2011-07-06,0.19,0.22,0.19,0.19,000,0.19
2011-07-05,0.19,0.22,0.19,0.19,000,0.19
2011-07-04,0.19,0.22,0.19,0.19,000,0.19
2011-07-01,0.19,0.22,0.19,0.19,000,0.19
2011-06-30,0.19,0.22,0.19,0.19,000,0.19
2011-06-29,0.17,0.22,0.17,0.17,000,0.17
2011-06-28,0.19,0.22,0.19,0.19,000,0.19
2011-06-27,0.19,0.22,0.19,0.19,000,0.19
2011-06-24,0.19,0.22,0.19,0.19,000,0.19
2011-06-23,0.22,0.22,0.22,0.22,2000,0.22
2011-06-22,0.19,0.19,0.19,0.19,5000,0.19
2011-06-21,0.19,0.25,0.19,0.19,000,0.19
2011-06-20,0.17,0.22,0.17,0.17,000,0.17
2011-06-17,0.19,0.20,0.19,0.19,000,0.19
2011-06-16,0.19,0.21,0.19,0.19,000,0.19
2011-06-15,0.20,0.20,0.20,0.20,10000,0.20
2011-06-14,0.19,0.22,0.19,0.19,000,0.19
2011-06-13,0.16,0.25,0.16,0.16,000,0.16
2011-06-10,0.19,0.22,0.19,0.19,000,0.19
2011-06-09,0.20,0.20,0.20,0.20,2000,0.20
2011-06-08,0.19,0.21,0.19,0.19,000,0.19
2011-06-07,0.19,0.21,0.19,0.19,000,0.19
2011-06-06,0.19,0.21,0.19,0.19,000,0.19
2011-06-03,0.21,0.21,0.21,0.21,5000,0.21
2011-06-02,0.21,0.22,0.21,0.21,000,0.21
2011-06-01,0.19,0.21,0.19,0.19,000,0.19
2011-05-31,0.20,0.20,0.20,0.20,20000,0.20
2011-05-30,0.20,0.20,0.20,0.20,69000,0.20
2011-05-27,0.19,0.20,0.19,0.19,000,0.19
2011-05-26,0.19,0.20,0.19,0.19,000,0.19
2011-05-25,0.19,0.25,0.19,0.19,000,0.19
2011-05-24,0.17,0.20,0.17,0.17,000,0.17
2011-05-23,0.19,0.22,0.19,0.19,000,0.19
2011-05-20,0.22,0.22,0.22,0.22,5000,0.22
2011-05-19,0.19,0.19,0.19,0.19,18000,0.19
2011-05-18,0.21,0.22,0.21,0.22,7000,0.22
2011-05-16,0.19,0.22,0.19,0.19,000,0.19
2011-05-13,0.19,0.20,0.19,0.19,000,0.19
2011-05-12,0.19,0.20,0.19,0.19,000,0.19
2011-05-11,0.19,0.20,0.19,0.19,000,0.19
2011-05-10,0.19,0.22,0.19,0.19,000,0.19
2011-05-09,0.19,0.21,0.19,0.19,000,0.19
2011-05-06,0.19,0.21,0.19,0.19,000,0.19
2011-05-05,0.19,0.19,0.19,0.19,3000,0.19
