Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.04,0.05,0.04,0.04,000,0.04
2011-08-03,0.04,0.05,0.04,0.04,000,0.04
2011-08-02,0.04,0.05,0.04,0.04,000,0.04
2011-08-01,0.04,0.05,0.04,0.04,000,0.04
2011-07-29,0.04,0.05,0.04,0.04,000,0.04
2011-07-28,0.03,0.05,0.03,0.03,000,0.03
2011-07-27,0.03,0.05,0.03,0.03,000,0.03
2011-07-26,0.04,0.05,0.04,0.04,000,0.04
2011-07-25,0.04,0.04,0.04,0.04,5000,0.04
2011-07-22,0.04,0.05,0.04,0.04,000,0.04
2011-07-21,0.04,0.05,0.04,0.04,000,0.04
2011-07-20,0.04,0.04,0.04,0.04,5000,0.04
2011-07-19,0.04,0.05,0.04,0.04,000,0.04
2011-07-18,0.04,0.05,0.04,0.04,000,0.04
2011-07-15,0.04,0.05,0.04,0.04,000,0.04
2011-07-14,0.04,0.05,0.04,0.04,000,0.04
2011-07-13,0.04,0.05,0.04,0.04,000,0.04
2011-07-12,0.04,0.04,0.04,0.04,20000,0.04
2011-07-11,0.04,0.04,0.04,0.04,15000,0.04
2011-07-08,0.04,0.05,0.04,0.04,000,0.04
2011-07-07,0.04,0.05,0.04,0.04,000,0.04
2011-07-06,0.04,0.04,0.04,0.04,7000,0.04
2011-07-05,0.04,0.04,0.04,0.04,000,0.04
2011-07-04,0.04,0.05,0.04,0.04,000,0.04
2011-07-01,0.04,0.05,0.04,0.04,000,0.04
2011-06-30,0.04,0.05,0.04,0.04,000,0.04
2011-06-29,0.04,0.05,0.04,0.04,000,0.04
2011-06-28,0.04,0.05,0.04,0.04,000,0.04
2011-06-27,0.04,0.05,0.04,0.04,000,0.04
2011-06-24,0.04,0.05,0.04,0.04,000,0.04
2011-06-23,0.04,0.05,0.04,0.04,000,0.04
2011-06-22,0.04,0.05,0.04,0.04,000,0.04
2011-06-21,0.04,0.04,0.04,0.04,9000,0.04
2011-06-20,0.04,0.04,0.04,0.04,9000,0.04
2011-06-17,0.04,0.04,0.04,0.04,11000,0.04
2011-06-16,0.04,0.05,0.04,0.04,000,0.04
2011-06-15,0.04,0.05,0.04,0.04,000,0.04
2011-06-14,0.04,0.05,0.04,0.04,000,0.04
2011-06-13,0.04,0.05,0.04,0.04,000,0.04
2011-06-10,0.04,0.05,0.04,0.04,000,0.04
2011-06-09,0.04,0.05,0.04,0.04,000,0.04
2011-06-08,0.04,0.05,0.04,0.04,000,0.04
2011-06-07,0.04,0.05,0.04,0.04,000,0.04
2011-06-06,0.04,0.05,0.04,0.04,000,0.04
2011-06-03,0.04,0.05,0.04,0.04,000,0.04
2011-06-02,0.04,0.05,0.04,0.04,000,0.04
2011-06-01,0.04,0.05,0.04,0.04,000,0.04
2011-05-31,0.04,0.05,0.04,0.04,000,0.04
2011-05-30,0.04,0.05,0.04,0.04,000,0.04
2011-05-27,0.04,0.05,0.04,0.04,000,0.04
2011-05-26,0.04,0.05,0.04,0.04,000,0.04
2011-05-25,0.04,0.05,0.04,0.05,6000,0.05
2011-05-24,0.04,0.05,0.04,0.04,000,0.04
2011-05-23,0.04,0.05,0.04,0.04,000,0.04
2011-05-20,0.04,0.04,0.04,0.04,49000,0.04
2011-05-19,0.04,0.05,0.04,0.04,000,0.04
2011-05-18,0.04,0.05,0.04,0.04,000,0.04
2011-05-16,0.04,0.05,0.04,0.04,000,0.04
2011-05-13,0.04,0.05,0.04,0.04,000,0.04
2011-05-12,0.04,0.05,0.04,0.04,000,0.04
2011-05-11,0.04,0.05,0.04,0.04,000,0.04
2011-05-10,0.04,0.05,0.04,0.04,000,0.04
2011-05-09,0.04,0.05,0.04,0.04,000,0.04
2011-05-06,0.04,0.05,0.04,0.04,000,0.04
2011-05-05,0.04,0.05,0.04,0.04,000,0.04
2011-05-04,0.05,0.05,0.05,0.05,000,0.05
2011-05-03,0.04,0.05,0.04,0.04,000,0.04
2011-04-29,0.05,0.05,0.05,0.05,11000,0.05
2011-04-28,0.05,0.05,0.05,0.05,000,0.05
2011-04-27,0.05,0.05,0.05,0.05,000,0.05
2011-04-26,0.05,0.05,0.05,0.05,000,0.05
2011-04-25,0.05,0.05,0.05,0.05,000,0.05
2011-04-21,0.04,0.05,0.04,0.04,000,0.04
2011-04-20,0.04,0.05,0.04,0.04,000,0.04
2011-04-19,0.05,0.05,0.05,0.05,000,0.05
2011-04-18,0.05,0.05,0.05,0.05,000,0.05
2011-04-15,0.05,0.05,0.05,0.05,000,0.05
2011-04-14,0.05,0.05,0.05,0.05,000,0.05
2011-04-13,0.05,0.05,0.05,0.05,7000,0.05
2011-04-12,0.05,0.05,0.05,0.05,23000,0.05
2011-04-11,0.05,0.05,0.05,0.05,57000,0.05
2011-04-08,0.05,0.05,0.05,0.05,220000,0.05
2011-04-07,0.06,0.06,0.05,0.05,210000,0.05
2011-04-06,0.05,0.07,0.05,0.05,000,0.05
2011-04-05,0.05,0.07,0.05,0.05,000,0.05
2011-04-04,0.06,0.06,0.05,0.05,51000,0.05
2011-04-01,0.05,0.07,0.05,0.05,000,0.05
2011-03-31,0.05,0.05,0.05,0.05,000,0.05
2011-03-30,0.05,0.05,0.05,0.05,000,0.05
2011-03-29,0.05,0.07,0.05,0.05,000,0.05
2011-03-28,0.05,0.05,0.05,0.05,000,0.05
2011-03-25,0.05,0.07,0.05,0.05,000,0.05
2011-03-24,0.05,0.07,0.05,0.05,000,0.05
2011-03-23,0.06,0.06,0.06,0.06,59000,0.06
2011-03-22,0.05,0.06,0.05,0.05,000,0.05
2011-03-21,0.05,0.06,0.05,0.05,000,0.05
2011-03-18,0.05,0.06,0.05,0.05,000,0.05
2011-03-17,0.05,0.06,0.05,0.05,000,0.05
2011-03-16,0.05,0.06,0.05,0.05,000,0.05
2011-03-15,0.05,0.07,0.05,0.05,000,0.05
2011-03-14,0.05,0.05,0.05,0.05,50000,0.05
2011-03-11,0.05,0.05,0.05,0.05,000,0.05
2011-03-10,0.05,0.08,0.05,0.05,000,0.05
2011-03-09,0.05,0.05,0.05,0.05,10000,0.05
2011-03-08,0.05,0.05,0.05,0.05,000,0.05
2011-03-07,0.05,0.07,0.05,0.05,000,0.05
2011-03-04,0.05,0.10,0.05,0.05,000,0.05
2011-03-03,0.05,0.08,0.05,0.05,000,0.05
2011-03-02,0.05,0.08,0.05,0.05,000,0.05
2011-03-01,0.05,0.07,0.05,0.05,000,0.05
2011-02-28,0.05,0.08,0.05,0.05,000,0.05
2011-02-25,0.05,0.05,0.05,0.05,000,0.05
2011-02-24,0.05,0.07,0.05,0.05,000,0.05
2011-02-23,0.05,0.06,0.05,0.05,000,0.05
2011-02-22,0.06,0.06,0.06,0.06,80000,0.06
2011-02-21,0.06,0.06,0.06,0.06,000,0.06
2011-02-18,0.05,0.06,0.05,0.05,000,0.05
2011-02-17,0.06,0.06,0.06,0.06,000,0.06
2011-02-16,0.06,0.06,0.06,0.06,000,0.06
2011-02-15,0.06,0.06,0.06,0.06,180000,0.06
2011-02-14,0.05,0.05,0.05,0.05,30000,0.05
2011-02-11,0.05,0.05,0.05,0.05,103000,0.05
2011-02-10,0.05,0.09,0.05,0.05,000,0.05
2011-02-09,0.05,0.09,0.05,0.05,000,0.05
2011-02-08,0.06,0.07,0.06,0.06,000,0.06
2011-02-07,0.06,0.08,0.06,0.06,000,0.06
2011-02-02,0.06,0.07,0.06,0.06,000,0.06
2011-02-01,0.06,0.06,0.06,0.06,50000,0.06
2011-01-31,0.06,0.06,0.06,0.06,20000,0.06
2011-01-28,0.06,0.06,0.06,0.06,20000,0.06
2011-01-27,0.06,0.07,0.06,0.07,80000,0.07
2011-01-26,0.06,0.06,0.06,0.06,000,0.06
