Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.04,0.05,0.04,0.05,16000,0.05
2011-08-03,0.05,0.05,0.05,0.05,7000,0.05
2011-08-02,0.05,0.05,0.05,0.05,000,0.05
2011-08-01,0.05,0.05,0.05,0.05,1000,0.05
2011-07-29,0.04,0.05,0.04,0.05,3000,0.05
2011-07-28,0.04,0.05,0.04,0.04,000,0.04
2011-07-27,0.04,0.05,0.04,0.04,000,0.04
2011-07-26,0.04,0.05,0.04,0.04,000,0.04
2011-07-25,0.04,0.05,0.04,0.04,000,0.04
2011-07-22,0.04,0.05,0.04,0.04,000,0.04
2011-07-21,0.04,0.05,0.04,0.04,000,0.04
2011-07-20,0.04,0.04,0.04,0.04,30000,0.04
2011-07-19,0.03,0.05,0.03,0.03,000,0.03
2011-07-18,0.05,0.05,0.05,0.05,000,0.05
2011-07-15,0.05,0.05,0.05,0.05,80000,0.05
2011-07-14,0.05,0.05,0.05,0.05,250000,0.05
2011-07-13,0.05,0.05,0.05,0.05,809000,0.05
2011-07-12,0.05,0.05,0.05,0.05,432000,0.05
2011-07-11,0.05,0.05,0.05,0.05,180000,0.05
2011-07-08,0.05,0.05,0.05,0.05,446000,0.05
2011-07-07,0.05,0.06,0.05,0.05,000,0.05
2011-07-06,0.05,0.05,0.05,0.05,210000,0.05
2011-07-05,0.06,0.06,0.06,0.06,81000,0.06
2011-07-04,0.05,0.06,0.05,0.05,000,0.05
2011-07-01,0.06,0.06,0.06,0.06,1151000,0.06
2011-06-30,0.06,0.06,0.06,0.06,2586000,0.06
2011-06-29,0.06,0.06,0.06,0.06,000,0.06
2011-06-28,0.06,0.06,0.06,0.06,251000,0.06
2011-06-27,0.05,0.06,0.05,0.05,000,0.05
2011-06-24,0.05,0.06,0.05,0.05,000,0.05
2011-06-23,0.05,0.06,0.05,0.05,000,0.05
2011-06-22,0.06,0.06,0.06,0.06,1000,0.06
2011-06-21,0.05,0.06,0.05,0.05,000,0.05
2011-06-20,0.06,0.06,0.06,0.06,200000,0.06
2011-06-17,0.06,0.06,0.06,0.06,1220000,0.06
2011-06-16,0.05,0.06,0.05,0.05,000,0.05
2011-06-15,0.06,0.06,0.06,0.06,000,0.06
2011-06-14,0.06,0.06,0.06,0.06,170000,0.06
2011-06-13,0.06,0.06,0.06,0.06,20000,0.06
2011-06-10,0.06,0.06,0.06,0.06,000,0.06
2011-06-09,0.06,0.06,0.06,0.06,298000,0.06
2011-06-08,0.06,0.06,0.06,0.06,251000,0.06
2011-06-07,0.06,0.06,0.06,0.06,10000,0.06
2011-06-06,0.06,0.06,0.06,0.06,180000,0.06
2011-06-03,0.06,0.07,0.06,0.06,000,0.06
2011-06-02,0.06,0.07,0.06,0.06,000,0.06
2011-06-01,0.06,0.07,0.06,0.06,000,0.06
2011-05-31,0.06,0.06,0.06,0.06,200000,0.06
2011-05-30,0.07,0.07,0.07,0.07,1000,0.07
2011-05-27,0.06,0.08,0.06,0.06,000,0.06
2011-05-26,0.06,0.06,0.06,0.06,200000,0.06
2011-05-25,0.07,0.07,0.07,0.07,2000,0.07
2011-05-24,0.07,0.07,0.06,0.06,121000,0.06
2011-05-23,0.06,0.06,0.06,0.06,70000,0.06
2011-05-20,0.06,0.08,0.06,0.06,000,0.06
2011-05-19,0.07,0.07,0.07,0.07,50000,0.07
2011-05-18,0.07,0.07,0.07,0.07,439000,0.07
2011-05-16,0.06,0.06,0.06,0.06,200000,0.06
2011-05-13,0.07,0.08,0.07,0.07,64000,0.07
2011-05-12,0.08,0.08,0.08,0.08,1000,0.08
2011-05-11,0.06,0.08,0.06,0.06,000,0.06
2011-05-10,0.06,0.07,0.06,0.06,000,0.06
2011-05-09,0.07,0.07,0.07,0.07,49000,0.07
2011-05-06,0.07,0.07,0.07,0.07,40000,0.07
2011-05-05,0.07,0.07,0.07,0.07,189000,0.07
2011-05-04,0.07,0.08,0.07,0.07,000,0.07
2011-05-03,0.08,0.08,0.07,0.07,500000,0.07
2011-04-29,0.07,0.08,0.07,0.07,000,0.07
2011-04-28,0.07,0.08,0.07,0.07,000,0.07
2011-04-27,0.08,0.08,0.08,0.08,50000,0.08
2011-04-26,0.08,0.08,0.08,0.08,1871000,0.08
2011-04-25,0.08,0.08,0.08,0.08,000,0.08
2011-04-21,0.08,0.08,0.08,0.08,000,0.08
2011-04-20,0.08,0.08,0.08,0.08,000,0.08
2011-04-19,0.08,0.08,0.08,0.08,000,0.08
2011-04-18,0.08,0.08,0.08,0.08,000,0.08
2011-04-15,0.08,0.08,0.08,0.08,1097000,0.08
2011-04-14,0.08,0.08,0.08,0.08,1000,0.08
2011-04-13,0.08,0.08,0.08,0.08,80000,0.08
2011-04-12,0.08,0.08,0.08,0.08,000,0.08
2011-04-11,0.08,0.08,0.08,0.08,2518000,0.08
2011-04-08,0.09,0.09,0.09,0.09,849000,0.09
2011-04-07,0.09,0.09,0.08,0.09,694000,0.09
2011-04-06,0.08,0.09,0.08,0.09,496000,0.09
2011-04-05,0.08,0.09,0.08,0.09,105000,0.09
2011-04-04,0.08,0.08,0.08,0.08,398000,0.08
2011-04-01,0.08,0.08,0.08,0.08,3000,0.08
2011-03-31,0.08,0.08,0.08,0.08,114000,0.08
2011-03-30,0.07,0.08,0.07,0.07,000,0.07
2011-03-29,0.07,0.08,0.07,0.07,000,0.07
2011-03-28,0.07,0.08,0.07,0.07,100000,0.07
2011-03-25,0.08,0.08,0.08,0.08,1000,0.08
2011-03-24,0.08,0.08,0.08,0.08,100000,0.08
2011-03-23,0.08,0.08,0.08,0.08,1000,0.08
2011-03-22,0.08,0.08,0.08,0.08,11000,0.08
2011-03-21,0.08,0.08,0.08,0.08,150000,0.08
2011-03-18,0.08,0.08,0.08,0.08,79000,0.08
2011-03-17,0.08,0.08,0.08,0.08,1000,0.08
2011-03-16,0.08,0.08,0.08,0.08,300000,0.08
2011-03-15,0.08,0.08,0.08,0.08,850000,0.08
2011-03-14,0.08,0.08,0.08,0.08,000,0.08
2011-03-11,0.08,0.08,0.08,0.08,600000,0.08
2011-03-10,0.08,0.08,0.08,0.08,100000,0.08
2011-03-09,0.08,0.08,0.08,0.08,259000,0.08
2011-03-08,0.08,0.09,0.08,0.08,000,0.08
2011-03-07,0.08,0.09,0.08,0.08,000,0.08
