Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.00,0.00,0.00,0.00,80000,0.00
2011-08-03,0.00,0.00,0.00,0.00,000,0.00
2011-08-02,0.00,0.01,0.00,0.00,000,0.00
2011-08-01,0.00,0.01,0.00,0.00,000,0.00
2011-07-29,0.00,0.01,0.00,0.00,000,0.00
2011-07-28,0.00,0.01,0.00,0.00,000,0.00
2011-07-27,0.00,0.01,0.00,0.00,000,0.00
2011-07-26,0.00,0.00,0.00,0.00,1814000,0.00
2011-07-25,0.00,0.01,0.00,0.00,000,0.00
2011-07-22,0.00,0.00,0.00,0.00,000,0.00
2011-07-21,0.00,0.00,0.00,0.00,000,0.00
2011-07-20,0.00,0.01,0.00,0.00,000,0.00
2011-07-19,0.00,0.01,0.00,0.00,000,0.00
2011-07-18,0.00,0.01,0.00,0.00,000,0.00
2011-07-15,0.00,0.01,0.00,0.00,000,0.00
2011-07-14,0.00,0.00,0.00,0.00,000,0.00
2011-07-13,0.00,0.01,0.00,0.00,000,0.00
2011-07-12,0.00,0.00,0.00,0.00,602000,0.00
2011-07-11,0.01,0.01,0.01,0.01,000,0.01
2011-07-08,0.00,0.00,0.00,0.00,80000,0.00
2011-07-07,0.00,0.01,0.00,0.00,000,0.00
2011-07-06,0.00,0.01,0.00,0.01,200000,0.01
2011-07-05,0.00,0.01,0.00,0.00,000,0.00
2011-07-04,0.00,0.01,0.00,0.00,000,0.00
2011-07-01,0.00,0.00,0.00,0.00,200000,0.00
2011-06-30,0.00,0.00,0.00,0.00,500000,0.00
2011-06-29,0.01,0.01,0.01,0.01,000,0.01
2011-06-28,0.00,0.00,0.00,0.00,100000,0.00
2011-06-27,0.00,0.00,0.00,0.00,101000,0.00
2011-06-24,0.00,0.01,0.00,0.01,100000,0.01
2011-06-23,0.01,0.01,0.01,0.01,000,0.01
2011-06-22,0.01,0.01,0.01,0.01,000,0.01
2011-06-21,0.01,0.01,0.01,0.01,000,0.01
2011-06-20,0.00,0.00,0.00,0.00,200000,0.00
2011-06-17,0.00,0.01,0.00,0.00,000,0.00
2011-06-16,0.00,0.01,0.00,0.00,000,0.00
2011-06-15,0.00,0.01,0.00,0.00,000,0.00
2011-06-14,0.00,0.01,0.00,0.00,000,0.00
2011-06-13,0.00,0.00,0.00,0.00,977000,0.00
2011-06-10,0.00,0.00,0.00,0.00,488000,0.00
2011-06-09,0.00,0.01,0.00,0.00,000,0.00
2011-06-08,0.00,0.01,0.00,0.00,000,0.00
2011-06-07,0.00,0.01,0.00,0.00,000,0.00
2011-06-06,0.00,0.01,0.00,0.00,000,0.00
2011-06-03,0.00,0.01,0.00,0.00,000,0.00
2011-06-02,0.00,0.01,0.00,0.00,000,0.00
2011-06-01,0.00,0.01,0.00,0.01,71000,0.01
2011-05-31,0.00,0.01,0.00,0.00,370000,0.00
2011-05-30,0.00,0.01,0.00,0.00,000,0.00
2011-05-27,0.00,0.01,0.00,0.00,000,0.00
2011-05-26,0.00,0.01,0.00,0.00,000,0.00
2011-05-25,0.00,0.01,0.00,0.00,000,0.00
2011-05-24,0.00,0.01,0.00,0.00,000,0.00
2011-05-23,0.00,0.01,0.00,0.00,000,0.00
2011-05-20,0.00,0.01,0.00,0.00,000,0.00
2011-05-19,0.00,0.01,0.00,0.00,000,0.00
2011-05-18,0.00,0.00,0.00,0.00,240000,0.00
2011-05-16,0.00,0.00,0.00,0.00,110000,0.00
2011-05-13,0.00,0.01,0.00,0.00,000,0.00
2011-05-12,0.00,0.01,0.00,0.00,000,0.00
2011-05-11,0.00,0.01,0.00,0.00,000,0.00
2011-05-10,0.00,0.01,0.00,0.00,000,0.00
2011-05-09,0.00,0.01,0.00,0.00,000,0.00
2011-05-06,0.00,0.01,0.00,0.00,000,0.00
2011-05-05,0.00,0.01,0.00,0.00,000,0.00
2011-05-04,0.00,0.01,0.00,0.00,000,0.00
2011-05-03,0.00,0.01,0.00,0.00,000,0.00
2011-04-29,0.00,0.01,0.00,0.00,000,0.00
2011-04-28,0.00,0.01,0.00,0.00,000,0.00
2011-04-27,0.00,0.01,0.00,0.00,000,0.00
2011-04-26,0.00,0.01,0.00,0.00,000,0.00
2011-04-25,0.00,0.00,0.00,0.00,500000,0.00
2011-04-21,0.00,0.01,0.00,0.00,000,0.00
2011-04-20,0.00,0.01,0.00,0.00,000,0.00
2011-04-19,0.00,0.01,0.00,0.00,000,0.00
2011-04-18,0.00,0.01,0.00,0.00,000,0.00
2011-04-15,0.00,0.01,0.00,0.00,000,0.00
2011-04-14,0.01,0.01,0.00,0.00,153000,0.00
2011-04-13,0.00,0.01,0.00,0.00,000,0.00
2011-04-12,0.00,0.01,0.00,0.01,21000,0.01
2011-04-11,0.00,0.01,0.00,0.00,000,0.00
2011-04-08,0.00,0.01,0.00,0.00,000,0.00
2011-04-07,0.00,0.01,0.00,0.00,000,0.00
2011-04-06,0.00,0.01,0.00,0.00,000,0.00
2011-04-05,0.00,0.01,0.00,0.00,000,0.00
2011-04-04,0.00,0.01,0.00,0.00,000,0.00
2011-04-01,0.00,0.01,0.00,0.00,000,0.00
2011-03-31,0.00,0.01,0.00,0.00,000,0.00
2011-03-30,0.00,0.01,0.00,0.00,000,0.00
2011-03-29,0.00,0.01,0.00,0.00,000,0.00
2011-03-28,0.00,0.01,0.00,0.00,000,0.00
2011-03-25,0.00,0.01,0.00,0.00,000,0.00
2011-03-24,0.01,0.01,0.01,0.01,000,0.01
2011-03-23,0.00,0.01,0.00,0.00,000,0.00
2011-03-22,0.00,0.01,0.00,0.00,000,0.00
2011-03-21,0.00,0.01,0.00,0.00,000,0.00
2011-03-18,0.00,0.01,0.00,0.00,000,0.00
2011-03-17,0.00,0.01,0.00,0.00,000,0.00
2011-03-16,0.00,0.01,0.00,0.00,000,0.00
2011-03-15,0.00,0.01,0.00,0.00,000,0.00
2011-03-14,0.00,0.01,0.00,0.00,000,0.00
2011-03-11,0.00,0.01,0.00,0.00,000,0.00
2011-03-10,0.01,0.01,0.01,0.01,1640000,0.01
2011-03-09,0.00,0.01,0.00,0.00,000,0.00
2011-03-08,0.00,0.01,0.00,0.00,000,0.00
2011-03-07,0.00,0.01,0.00,0.00,000,0.00
2011-03-04,0.00,0.01,0.00,0.00,000,0.00
2011-03-03,0.00,0.01,0.00,0.00,000,0.00
2011-03-02,0.00,0.01,0.00,0.00,000,0.00
2011-03-01,0.00,0.01,0.00,0.00,000,0.00
2011-02-28,0.00,0.01,0.00,0.00,000,0.00
2011-02-25,0.00,0.01,0.00,0.00,000,0.00
2011-02-24,0.00,0.01,0.00,0.00,000,0.00
2011-02-23,0.00,0.01,0.00,0.00,000,0.00
2011-02-22,0.00,0.01,0.00,0.01,101000,0.01
2011-02-21,0.00,0.01,0.00,0.00,000,0.00
2011-02-18,0.00,0.01,0.00,0.00,000,0.00
2011-02-17,0.00,0.01,0.00,0.00,000,0.00
2011-02-16,0.00,0.01,0.00,0.00,000,0.00
2011-02-15,0.00,0.01,0.00,0.00,000,0.00
2011-02-14,0.00,0.01,0.00,0.00,000,0.00
2011-02-11,0.00,0.01,0.00,0.00,000,0.00
2011-02-10,0.00,0.01,0.00,0.00,000,0.00
2011-02-09,0.00,0.01,0.00,0.00,000,0.00
2011-02-08,0.00,0.01,0.00,0.00,000,0.00
2011-02-07,0.00,0.01,0.00,0.00,000,0.00
2011-02-02,0.00,0.01,0.00,0.00,000,0.00
2011-02-01,0.01,0.01,0.01,0.01,1100000,0.01
2011-01-31,0.00,0.01,0.00,0.00,000,0.00
2011-01-28,0.00,0.01,0.00,0.00,000,0.00
2011-01-27,0.00,0.01,0.00,0.00,000,0.00
2011-01-26,0.00,0.01,0.00,0.00,000,0.00
2011-01-25,0.00,0.01,0.00,0.00,000,0.00
2011-01-24,0.00,0.01,0.00,0.00,000,0.00
2011-01-21,0.01,0.01,0.01,0.01,200000,0.01
2011-01-20,0.01,0.01,0.01,0.01,000,0.01
2011-01-19,0.01,0.01,0.01,0.01,000,0.01
2011-01-18,0.01,0.01,0.01,0.01,000,0.01
2011-01-17,0.01,0.01,0.01,0.01,700000,0.01
2011-01-14,0.01,0.01,0.01,0.01,20000,0.01
2011-01-13,0.01,0.01,0.01,0.01,000,0.01
2011-01-12,0.01,0.01,0.01,0.01,100000,0.01
2011-01-11,0.01,0.01,0.01,0.01,000,0.01
2011-01-10,0.01,0.01,0.01,0.01,000,0.01
2011-01-07,0.01,0.01,0.01,0.01,000,0.01
2011-01-06,0.01,0.01,0.01,0.01,50000,0.01
2011-01-05,0.01,0.01,0.01,0.01,860000,0.01
2011-01-04,0.01,0.01,0.01,0.01,000,0.01
2011-01-03,0.01,0.01,0.01,0.01,000,0.01
2010-12-31,0.00,0.01,0.00,0.00,000,0.00
2010-12-30,0.00,0.01,0.00,0.00,000,0.00
2010-12-29,0.00,0.01,0.00,0.00,000,0.00
2010-12-28,0.00,0.01,0.00,0.00,000,0.00
2010-12-27,0.00,0.01,0.00,0.00,000,0.00
2010-12-24,0.00,0.01,0.00,0.00,000,0.00
2010-12-23,0.01,0.01,0.01,0.01,50000,0.01
